#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
801;J1227-4853;12:27:58.7;-48:53:42.7;298.965;13.796;0.001686;592.987774;43.42;ELL1;GRS:4FGL_J1228.0-4853[aab+22],XRS:XSS_J1;
802;J1227-6208;12:27:00.4;-62:08:43.8;300.082;0.591;0.034528;28.962141;362.89;ELL1H;*;
803;J1227-63;12:27:12;-63:09;300.199;-0.407;0.444578;2.249324;359.00;*;*;
804;J1231-1411;12:31:11.3;-14:11:43.6;295.531;48.385;0.003684;271.453015;8.09;T2;GRS:4FGL_J1231.1-1412[aab+22];
805;J1231-4609;12:31:45.7;-46:09:45.3;299.379;16.573;0.877239;1.139940;66.56;*;*;
806;J1231-5113;12:31;-51:13;299.668;11.526;0.206612;4.840000;*;*;GRS:4FGL_J1231.6-5116[aab+22];
807;J1231-5929;12:31:42.5;-59:29:12.5;300.426;3.289;0.409834;2.440014;356.20;*;*;
808;J1231-6303;12:31:13.0;-63:03:18;300.644;-0.273;1.351236;0.740063;301.00;*;*;
809;J1231-6511;12:31:43.9;-65:11:48;300.865;-2.404;0.247525;4.040000;*;*;GRS:4FGL_J1231.6-6511[aab+22];
810;J1232-4742;12:32:19.1;-47:42:50.9;299.604;15.034;1.872994;0.533904;26.00;*;*;
811;J1232-5843;12:32:06.2;-58:43:31.7;300.419;4.052;0.285318;3.504856;207.50;*;*;
812;J1232-6501;12:32:17.8;-65:01:03.3;300.911;-2.221;0.088282;11.327349;239.40;ELL1;*;
813;J1233-6312;12:33:31.5;-63:12:29;300.915;-0.406;0.564759;1.770666;414.00;*;*;
814;J1233-6344;12:33:39.9;-63:44:55;300.968;-0.945;0.756892;1.321193;495.00;*;*;
815;J1234-3630;12:34:12.0;-36:30:41.1;299.071;26.231;0.569242;1.756721;59.29;*;*;
816;J1235-54;12:35:19;-54:57;300.597;7.849;0.638234;1.566824;100.00;*;*;
817;J1235-6354;12:35:57.7;-63:54:30.4;301.231;-1.088;0.256778;3.894420;439.90;*;*;
818;J1236-0159;12:36:02.5;-01:59:10;295.065;60.650;3.597574;0.277965;19.00;*;*;
819;J1236-5033;12:36:59.1;-50:33:36.2;300.584;12.246;0.294760;3.392592;105.02;*;*;
820;J1236-65;12:36:55;-65:37;301.432;-2.787;0.100565;9.943798;175.00;*;*;
821;J1237-6725;12:37:25.9;-67:25:33.9;301.584;-4.591;2.110974;0.473715;176.50;*;*;
822;J1238+2152;12:38:23.1;+21:52:11.1;272.789;83.962;1.118591;0.893982;17.97;*;*;
823;J1239+0326;12:39:38.7;+03:26:10.9;295.640;66.141;0.858327;1.165058;34.29;*;*;
824;J1239+2453;12:39:40.4;+24:53:49.2;252.450;86.541;1.382449;0.723354;9.25;*;*;
825;J1239+3239;12:39;+32;151.215;84.429;0.004700;212.765957;16.85;*;*;
826;J1239-48;12:39;-48:00;300.780;14.820;0.653900;1.529286;107.60;*;*;
827;J1239-6832;12:39:58.9;-68:32:28.5;301.879;-5.693;1.301924;0.768094;94.12;*;*;
828;J1240-4124;12:40:17.5;-41:24:51.4;300.688;21.409;0.512244;1.952193;43.23;*;*;
829;J1242+39;12:42:34;+39:38;130.760;77.360;1.310000;0.763359;28.60;*;*;
830;J1242-4712;12:42:12.7;-47:12:18.4;301.305;15.637;0.005313;188.205290;78.64;*;*;
831;J1243+17;12:43:00;+17:52;290.630;80.536;1.216500;0.822030;5.00;*;*;
832;J1243-5735;12:43:35.3;-57:35:42.8;301.876;5.260;0.471225;2.122129;270.60;*;*;
833;J1243-6423;12:43:17.1;-64:23:23.6;302.051;-1.532;0.388486;2.574096;297.02;*;*;
834;J1244-1812;12:44:25.7;-18:12:16.2;300.593;44.635;3.425324;0.291943;15.50;*;*;
835;J1244-4708;12:44:27.2;+47:08:01.9;126.398;69.947;1.411433;0.708500;75.02;*;*;
836;J1244-5053;12:44:11.4;-50:53:20.6;301.764;11.966;0.275207;3.633627;109.95;*;*;
837;J1244-6359;12:44:47.6;-63:59:47.4;302.204;-1.134;0.147274;6.790050;286.00;DD;*;
838;J1244-6437;12:44:11.9;-64:37:59.0;302.156;-1.772;0.212905;4.696937;321.60;*;*;
839;J1244-6531;12:44:38.3;-65:31:12;302.227;-2.658;1.546819;0.646488;388.00;*;*;
840;J1245-6238;12:45:21.1;-62:38:55.9;302.233;0.215;2.283093;0.438002;336.00;*;*;
841;J1246+2253;12:46:49.3;+22:53:43.2;288.809;85.640;0.473871;2.110281;17.79;*;*;
842;J1248-6344;12:48:46.3;-63:44:09.6;302.637;-0.866;0.198335;5.041971;433.00;*;*;
843;J1248-6444;12:48:32.8;-64:44:00.0;302.623;-1.863;1.234893;0.809786;236.40;*;*;
844;J1249-6507;12:49:54.3;-65:07:19.8;302.771;-2.251;0.434445;2.301788;215.00;*;*;
845;J1251-7407;12:51:52.9;-74:07:15.0;302.963;-11.249;0.327058;3.057564;89.81;*;*;
846;J1252+53;12:52;+53:42;122.746;63.428;0.220104;4.543315;20.70;*;*;
847;J1252-6314;12:52:42.6;-63:14:32.1;303.075;-0.371;0.823339;1.214566;276.85;*;*;
848;J1253-5820;12:53:28.4;-58:20:40.7;303.200;4.526;0.255498;3.913922;100.55;*;GRS:4FGL_J1253.3-5816[aab+22];
849;J1254-6150;12:54:32.4;-61:50:50.8;303.298;1.022;0.184502;5.419989;95.00;*;*;
850;J1255-46;12:55;-46:00;303.578;16.867;0.052000;19.230769;42.90;*;*;
851;J1255-6131;12:55:54.8;-61:31:10.1;303.466;1.348;0.657974;1.519818;206.50;*;*;
852;J1255-62;12:55:18;-62:48;303.373;0.068;0.182912;5.467125;713.00;*;*;
853;J1257-1027;12:57:04.7;-10:27:05.3;305.205;52.395;0.617308;1.619937;29.38;*;*;
854;J1259-6741;12:59:22.6;-67:41:40.3;303.688;-4.834;0.663330;1.507545;91.91;*;*;
855;J1300+1240;13:00:03.5;+12:40:56.4;311.310;75.414;0.006219;160.809659;10.17;BT2P;XRS:[pkgw07];
856;J1300-6602;13:00:26.9;-66:02:16.8;303.848;-3.182;1.143316;0.874649;460.00;*;*;
857;J1301+0833;13:01:38.2;+08:33:57.5;310.811;71.282;0.001844;542.380051;13.20;ELL1;GRS:4FGL_J1301.6+0834[aab+22],OPT:[lht14;
858;J1301-6305;13:01:45.7;-63:05:33.9;304.100;-0.244;0.184528;5.419229;374.00;*;*;
859;J1301-6310;13:01:28.3;-63:10:40.5;304.064;-0.328;0.663830;1.506411;86.10;*;XRS:[pb15];
860;J1302-3258;13:02:25.5;-32:58:36.8;305.588;29.838;0.003771;265.191981;26.18;BT;GRS:4FGL_J1302.4-3258[aab+22],GRS:3FGL_J;
861;J1302-63;13:02:04;-63:44:53;304.107;-0.901;0.325724;3.070081;875.00;*;*;
862;J1302-6313;13:02:19.2;-63:13:29;304.157;-0.379;0.967846;1.033222;500.00;*;*;
863;J1302-6350;13:02:47.6;-63:50:08.6;304.184;-0.992;0.047763;20.936924;146.73;MSS;*;
864;J1303+38;13:03:18;+38:13;111.027;78.636;0.396300;2.523341;19.00;*;*;
865;J1303-62;13:03:19;-62:12;304.317;0.640;0.419416;2.384268;490.00;*;*;
866;J1303-6305;13:03:00.0;-63:05:00.8;304.240;-0.241;2.306642;0.433531;343.00;*;*;
867;J1304+12;13:04:27;+12:02:28;315.000;74.607;0.004180;239.234450;*;*;GRS:4FGL_J1304.4+1203[aab+22];
868;J1305-6203;13:05:21.1;-62:03:21.0;304.561;0.772;0.427774;2.337685;468.78;*;*;
869;J1305-6256;13:05:28.0;-62:56:39;304.526;-0.116;0.478231;2.091040;967.00;*;*;
870;J1305-6455;13:05:23.4;-64:55:28.3;304.410;-2.093;0.571652;1.749315;505.17;*;*;
871;J1305-66;13:05:36;-66:39;304.338;-3.817;0.197276;5.069033;316.10;*;*;
872;J1306-4035;13:06:56.3;-40:35:23.3;306.109;22.186;0.002205;453.611427;35.00;BT;GRS:4FGL_J1306.8-4035[aab+22],OPT:SSS_J1;
873;J1306-60;13:6:12;-60:21;304.758;2.469;1.783181;0.560796;283.00;*;*;
874;J1306-6043;13:06:20.2;-60:43:47.4;304.753;2.089;0.005671;176.330737;67.05;?;*;
875;J1306-6242;13:06:44.6;-62:42:03;304.686;0.119;0.981902;1.018431;480.00;*;*;
876;J1306-6617;13:06:38.1;-66:17:22.0;304.462;-3.463;0.473029;2.114036;438.23;*;*;
877;J1307-6318;13:07:54.7;-63:18:35;304.781;-0.497;4.962427;0.201514;374.00;*;*;
878;J1307-67;13:07:41;-67:03:27;304.518;-4.236;3.651200;0.273883;44.00;*;*;
879;J1308+2127;13:08:48.2;+21:27:06.7;338.733;83.082;10.312522;0.096969;*;*;XRS:RX_J1308.6+2127,OPT:[kkvh11];
880;J1308-23;13:08;-23;307.888;39.712;0.002830;353.356890;22.36;*;*;
881;J1308-4650;13:08:44.5;-46:50:29.7;306.008;15.927;1.058833;0.944436;66.00;*;*;
882;J1308-5844;13:08:21.0;-58:44:13.8;305.130;4.062;0.464700;2.151927;205.60;*;*;
883;J1309-6415;13:09:16.6;-64:15:59;304.867;-1.462;0.619454;1.614326;574.00;*;*;
884;J1309-6526;13:09:00.2;-65:26:16.6;304.758;-2.628;0.398292;2.510720;340.00;*;*;
885;J1310-63;13:10:18;-63:19;305.048;-0.522;0.185667;5.385996;625.00;*;*;
886;J1311-1228;13:11:52.6;-12:28:01.6;310.723;50.095;0.447518;2.234548;36.21;*;*;
887;J1311-3430;13:11:45.7;-34:30:30.3;307.681;28.176;0.002560;390.568393;37.80;ELL1;GRS:4FGL_J1311.7-3430[aab+22],OPT:[rom12;
888;J1312+0051;13:12:46.6;+00:51:00.1;314.842;63.227;0.004228;236.517386;15.30;DD;GRS:4FGL_J1312.7+0050[aab+22];
889;J1312+1810A;13:12:55.2;+18:10:05;332.962;79.764;0.033163;30.153936;25.00;BT;GC:M53(NGC5024);
890;J1312+1810B;13:12:54.7;+18:10:03.2;332.951;79.765;0.006242;160.198315;25.96;DD;GC:M53(NGC5024)[pqm+21];
891;J1312+1810C;13:12:55.6;+18:10:09.5;332.974;79.764;0.012535;79.776121;26.19;*;GC:M53(NGC5024)[pqm+21];
892;J1312+1810D;13:12:55.6;+18:09:55.0;332.963;79.761;0.006070;164.751773;24.61;ELL1;GC:M53(NGC5024)[pqm+21];
893;J1312+1810E;13:12:55.8;+18:10:17.2;332.983;79.766;0.003972;251.753526;25.88;ELL1;GC:M53(NGC5024)[lpz+23];
894;J1312-5402;13:12:04.7;-54:02:42.5;305.994;8.704;0.728154;1.373335;133.00;*;*;
895;J1312-5516;13:12:53.5;-55:16:47.3;306.010;7.464;0.849243;1.177520;134.10;*;*;
896;J1312-6400;13:12:07.1;-64:00:55.9;305.195;-1.235;2.437433;0.410268;90.81;*;*;
897;J1313+0931;13:13:23.0;+09:31:56;320.366;71.657;0.848933;1.177949;12.04;*;*;
898;J1314-6101;13:14:23.4;-61:01:16;305.710;1.727;2.948390;0.339168;309.00;*;*;
899;J1316-6147;13:16:33.6;-61:47:23.0;305.897;0.937;1.932600;0.517438;625.00;*;*;
900;J1316-6232;13:16:46.3;-62:32:12.2;305.848;0.191;0.342825;2.916937;966.40;*;*;
901;J1317-0157;13:17:40.4;-01:57:30.0;316.226;60.234;0.002908;343.850032;29.40;ELL1;*;
902;J1317-5759;13:17:46.2;-57:59:30.5;306.428;4.701;2.642199;0.378473;145.30;*;*;
903;J1317-6302;13:17:44.6;-63:02:52.2;305.908;-0.328;0.261271;3.827450;678.10;*;*;
904;J1319-6056;13:19:20.2;-60:56:46.6;306.314;1.742;0.284353;3.516757;400.66;*;*;
905;J1319-6105;13:19:26.3;-61:05:26.2;306.311;1.597;0.421118;2.374631;440.60;*;*;
906;J1320+67;13:20;+67:30;118.741;49.395;1.028620;0.972176;28.00;*;*;
907;J1320-3512;13:20:12.6;-35:12:26.9;309.543;27.295;0.458488;2.181080;16.81;*;*;
908;J1320-5359;13:20:53.9;-53:59:04.7;307.305;8.637;0.279739;3.574759;97.32;*;*;
909;J1321+8323;13:21:45.6;+83:23:39.4;121.887;33.672;0.670037;1.492454;13.32;*;*;
910;J1321-5922;13:21:39.5;-59:22:52.1;306.778;3.265;1.279058;0.781826;383.00;*;*;
911;J1322-62;13:22:54;-62:51;306.512;-0.197;1.044851;0.957074;733.60;*;*;
912;J1322-6241;13:22:32.1;-62:41:53.5;306.489;-0.041;0.506058;1.976056;618.80;*;*;
913;J1322-6329;13:22:18.0;-63:29:37;306.367;-0.828;2.764209;0.361767;659.00;*;*;
914;J1324-6146;13:24:43.9;-61:46:00;306.859;0.851;0.844109;1.184682;828.00;*;*;
915;J1324-6302;13:24:13.6;-63:02:21.1;306.638;-0.404;2.483804;0.402608;497.00;*;*;
916;J1325-6253;13:25:04.8;-62:53:39.5;306.753;-0.272;0.028971;34.517664;303.00;DD;*;
917;J1326+33;13:26:42;+33:46;76.238;79.917;0.041500;24.096386;4.19;*;*;
918;J1326-4728A;13:26:39.6;-47:30:11.6;309.077;14.948;0.004109;243.380880;100.29;*;GC:OmegaCen(NGC5139)[djk+20];
919;J1326-4728B;13:26:49.5;-47:29:24.8;309.107;14.957;0.004792;208.686833;100.25;ELL1;GC:OmegaCen(NGC5139)[djk+20],XRS:J132649;
920;J1326-4728C;13:26:55.2;-47:30:11.7;309.121;14.942;0.006868;145.605770;100.64;*;GC:OmegaCen(NGC5139)[djk+20],XRS:J132655;
921;J1326-4728D;13:26:32.7;-47:28:40.0;309.060;14.976;0.004579;218.396237;96.52;*;GC:OmegaCen(NGC5139)[djk+20];
922;J1326-4728E;13:26:42.6;-47:27:23.9;309.092;14.993;0.004208;237.658566;94.37;*;GC:OmegaCen(NGC5139)[djk+20],XRS:J132642;
923;J1326-5859;13:26:58.2;-58:59:28.9;307.504;3.565;0.477994;2.092076;287.13;*;*;
924;J1326-6408;13:26:32.4;-64:08:43.9;306.748;-1.534;0.792674;1.261552;502.28;*;*;
925;J1326-6700;13:26:02.6;-67:00:50.4;306.309;-4.369;0.543016;1.841567;208.92;*;*;
926;J1327+3423;13:27:07.5;+34:23:37.6;78.606;79.447;0.041513;24.089008;4.18;*;*;
927;J1327-0755;13:27:57.5;-07:55:29.9;318.383;53.848;0.002678;373.423698;27.91;T2;*;
928;J1327-6222;13:27:17.3;-62:22:46.1;307.074;0.204;0.529932;1.887034;318.52;*;*;
929;J1327-6301;13:27:07.4;-63:01:15.5;306.966;-0.429;0.196480;5.089572;294.24;*;*;
930;J1327-6400;13:27:10.2;-64:00:13.1;306.836;-1.403;0.280678;3.562802;679.00;*;*;
931;J1328-4357;13:28:06.4;-43:57:44.4;309.874;18.415;0.532703;1.877219;41.31;*;*;
932;J1328-4921;13:28:33.5;-49:21:33.4;309.122;13.066;1.478721;0.676260;118.00;*;*;
933;J1328-62;13:28:35;-62:46;307.167;-0.201;0.528858;1.890868;194.80;*;*;
934;J1328-6605;13:28:46.6;-66:05:48.7;306.707;-3.499;0.734367;1.361717;329.30;*;*;
935;J1329+13;13:29:00;+13:44;338.007;73.989;*;*;12.00;*;*;
936;J1329-6158;13:29:03.3;-61:58:59;307.334;0.567;1.565218;0.638889;514.00;*;*;
937;J1331-5245;13:31:00.0;-52:45:25.4;308.985;9.649;0.648117;1.542932;148.40;*;*;
938;J1332-03;13:32;-03:26;322.250;57.909;1.106400;0.903832;27.10;*;*;
939;J1332-3032;13:32:52.4;-30:32:17.3;313.396;31.490;0.650434;1.537434;15.10;*;*;
940;J1333-4449;13:33:44.8;-44:49:26.2;310.774;17.403;0.345603;2.893494;44.30;*;*;
941;J1333-61;13:33:36;-61:48;307.891;0.665;1.532135;0.652684;546.00;*;*;
942;J1334+10;13:34:30;+10:05;335.745;70.162;0.911100;1.097574;24.00;*;*;
943;J1334-5839;13:34:30.1;-58:39:16.3;308.520;3.749;0.107718;9.283479;119.22;*;*;
944;J1335-3642;13:35:36;-36:42;312.713;25.332;0.399192;2.505060;41.82;*;*;
945;J1335-5656;13:35;-56:56;308.876;5.435;0.003238;308.860000;*;*;GRS:4FGL_J1335.0-5656[aab+22];
946;J1336+33;13:36:00;+33:46;70.319;78.337;3.013000;0.331895;8.50;*;*;
947;J1336-2522;13:36:20.8;-25:22:01.6;315.557;36.401;0.478145;2.091414;37.39;*;*;
948;J1337-4441;13:37:27.7;-44:41:42.3;311.478;17.412;1.257511;0.795221;97.80;*;*;
949;J1337-6306;13:37:20.3;-63:06:23.3;308.095;-0.696;0.207953;4.808779;777.70;*;*;
950;J1337-6423;13:37:31.8;-64:23:04.9;307.889;-1.958;0.009423;106.118735;259.89;ELL1;*;
951;J1338-6204;13:38:09.4;-62:04:18.3;308.373;0.305;1.239003;0.807101;642.28;*;*;
952;J1338-6425;13:38:24.1;-64:25:13.6;307.976;-2.010;0.004088;244.630501;85.92;?;*;
953;J1339-4712;13:39:56.5;-47:12:05.7;311.424;14.869;0.137055;7.296359;40.01;*;*;
954;J1339-6618;13:39:56.6;-66:18:07.8;307.786;-3.889;0.558179;1.791539;241.00;*;*;
955;J1340-6456;13:40:00.0;-64:56:43.5;308.047;-2.557;0.378629;2.641108;76.83;*;*;
956;J1341-6023;13:41:07.2;-60:23:35.7;309.035;1.888;0.627299;1.594136;364.95;*;*;
957;J1341-6220;13:41:42.6;-62:20:20.7;308.730;-0.035;0.193340;5.172242;719.65;*;GRS:4FGL_J1341.7-6216[aab+22],SNR:G308.8;
958;J1342+2822A;13:42:00.6;+28:22:31.4;42.219;78.747;0.002545;392.967704;26.50;BT;GC:M3(NGC5272);
959;J1342+2822B;13:42:11.0;+28:22:40.1;42.220;78.709;0.002389;418.511473;26.15;ELL1;GC:M3(NGC5272),OPT:[cfi+19];
960;J1342+2822C;13:42:11.6;+28:22:38;42.217;78.707;0.002166;461.680517;26.50;*;GC:M3(NGC5272);
961;J1342+2822D;13:42:10.2;+28:22:36;42.215;78.712;0.005443;183.723050;26.36;DD;GC:M3(NGC5272);
962;J1342+2822E;13:42:11.6;+28:22:38;42.217;78.707;0.005470;182.815356;26.54;*;GC:M3(NGC5272)[pqm+21];
963;J1342+2822F;13:42:11.6;+28:22:38;42.217;78.707;0.004400;227.272727;26.47;*;GC:M3(NGC5272)[pqm+21];
964;J1343+6634;13:43:59.2;+66:34:25.0;114.896;49.727;1.394104;0.717307;30.03;*;*;
965;J1344-5855;13:44:53.0;-58:55:24.7;309.794;3.234;0.252398;3.961998;294.10;*;*;
966;J1344-6059;13:44:39.6;-60:59:31;309.341;1.216;0.540102;1.851501;435.00;*;*;
967;J1345-6115;13:45:44.4;-61:15:30.5;309.414;0.928;1.253087;0.798029;280.47;*;*;
968;J1346-4918;13:46:22.3;-49:18:07.0;312.059;12.594;0.299625;3.337504;74.59;*;*;
969;J1347-5947;13:47:19.2;-59:47:39.2;309.914;2.318;0.609972;1.639420;292.34;*;*;
970;J1348-62;13:48:00;-62:30;309.409;-0.342;0.616257;1.622700;790.00;*;*;
971;J1348-6307;13:48:42.4;-63:07:04;309.353;-0.962;0.927772;1.077851;597.00;*;*;
972;J1349-6130;13:49:36.6;-61:30:17.1;309.813;0.587;0.259365;3.855574;283.87;*;*;
973;J1349-63;13:49:18;-63:56;309.237;-1.772;0.373034;2.680721;478.00;*;*;
974;J1350-5115;13:50:16.1;-51:15:24.5;312.233;10.549;0.295700;3.381809;90.39;*;*;
975;J1350-6225;13:50:44.4;-62:25:43.8;309.734;-0.343;0.138158;7.238101;*;*;GRS:4FGL_J1350.6-6224[aab+22];
976;J1352-6141;13:52:01.4;-61:41:25.8;310.050;0.341;0.004738;211.044503;76.30;*;*;
977;J1352-6803;13:52:34.4;-68:03:36.9;308.614;-5.866;0.628903;1.590069;215.14;*;*;
978;J1353-6341;13:53:31.0;-63:41:31.0;309.745;-1.644;2.076200;0.481649;439.00;*;*;
979;J1354+2453;13:54:13.3;+24:53:46.1;27.456;75.728;0.851064;1.175000;*;*;*;
980;J1354+2454;13:54:04;+24:54:06;27.447;75.764;6.270000;0.159490;20.00;*;*;
981;J1354-6249;13:54:35;-62:49:30;310.070;-0.832;2.951938;0.338760;254.00;*;*;
982;J1355-5153;13:55:58.6;-51:53:53.9;312.951;9.713;0.644305;1.552061;112.10;*;*;
983;J1355-5747;13:55:36.9;-57:47:15;311.425;4.022;2.038674;0.490515;229.00;*;*;
984;J1355-5925;13:55:59.1;-59:25:00.7;311.069;2.431;1.213385;0.824141;354.27;*;*;
985;J1355-6206;13:55:21.3;-62:06:20.1;310.332;-0.156;0.276603;3.615289;547.00;*;*;
986;J1356-5521;13:56:50.5;-55:21:13.1;312.199;6.337;0.507380;1.970909;174.17;*;*;
987;J1357-2530;13:58:42;-25:33;321.485;34.887;0.912971;1.095325;31.27;*;*;
988;J1357-62;13:57:25;-62:28;310.474;-0.565;0.455761;2.194132;416.70;*;*;
989;J1357-6429;13:57:02.2;-64:29:30.1;309.922;-2.514;0.166308;6.012939;128.50;*;GRS:4FGL_J1356.9-6432[aab+22],XRS:PWN[za;
990;J1358-59;13:58:58;-59:20;311.457;2.416;0.374120;2.672940;324.00;*;*;
991;J1358-6025;13:58;-60:25;311.062;1.400;0.060533;16.520000;*;*;GRS:4FGL_J1358.3-6026[aab+22];
992;J1359-6038;13:59:58.2;-60:38:07.2;311.239;1.126;0.127509;7.842556;293.91;*;*;
993;J1359-6242;13:59:30.2;-62:42:22.5;310.645;-0.858;0.899747;1.111424;784.00;*;*;
994;J1400+21;14:00:18;+21:27;16.752;73.332;*;*;10.50;*;*;
995;J1400-1431;14:00:37.0;-14:31:47.0;326.986;45.087;0.003084;324.229692;4.93;ELL1;GRS:4FGL_J1400.6-1432[aab+22],OPT:[skm+1;
996;J1400-6325;14:00:45.6;-63:25:42.6;310.592;-1.593;0.031182;32.070194;563.00;*;GRS:IGR_J14003-6326,SNR:G310.6-1.6;
997;J1401-6357;14:01:52.5;-63:57:45.3;310.569;-2.140;0.842808;1.186510;97.74;*;*;
998;J1402+1306;14:02:46.4;+13:06:58;356.422;68.217;0.005892;169.709886;8.66;ELL1;GRS:4FGL_J1402.7+1306[aab+22];
999;J1402-5021;14:02:56.0;-50:21:43;314.434;10.906;1.380182;0.724542;51.00;*;*;
1000;J1403-0314;14:03:41;-03:15:28;335.565;54.970;0.362634;2.757601;31.00;*;*;
1001;J1403-6310;14:03:14.0;-63:10:27.2;310.929;-1.423;0.399170;2.505197;304.25;*;*;
1002;J1403-7646;14:03:03.9;-76:46:56.8;307.096;-14.493;1.306199;0.765580;101.17;*;*;
1003;J1404+1159;14:04:36.9;+11:59:16.0;355.078;67.115;2.650439;0.377296;18.40;*;*;
1004;J1405-4656;14:05:21.4;-46:56:02.3;315.826;14.079;0.007602;131.540810;13.88;ELL1;*;
1005;J1405-5641;14:05:12.4;-56:41:24.2;312.971;4.737;0.617575;1.619237;273.00;*;*;
1006;J1406-4233;14:06:04.7;-42:33:20.6;317.299;18.224;2.436795;0.410375;79.70;*;*;
1007;J1406-5806;14:06:01.1;-58:06:33.5;312.673;3.345;0.288350;3.468012;229.86;*;*;
1008;J1406-59;14:08:28;-59:24;312.603;2.018;1.248318;0.801078;304.00;*;*;
1009;J1406-6121;14:06:50.0;-61:21:27.9;311.841;0.203;0.213075;4.693191;537.29;*;*;
1010;J1407-6048;14:07:58.6;-60:48:58.8;312.130;0.681;0.492344;2.031099;575.20;*;*;
1011;J1407-6153;14:07:56.5;-61:53:59;311.810;-0.354;0.701615;1.425283;645.00;*;*;
1012;J1408-6009;14:08:14.2;-60:09:58.5;312.350;1.294;0.567635;1.761695;546.00;*;*;
1013;J1409+49;14:09:30;+49:44;94.650;62.889;1.125000;0.888889;29.00;*;*;
1014;J1409-6011;14:09:48.3;-60:11:23.5;312.530;1.213;0.300581;3.326895;448.60;*;*;
1015;J1409-6953;14:09:16.9;-69:53:34.4;309.574;-8.031;0.528591;1.891823;167.60;*;*;
1016;J1410-6132;14:10:23.5;-61:32:08.1;312.195;-0.092;0.050052;19.979243;961.00;*;GRS:4FGL_J1411.5-6133[aab+22];
1017;J1410-7404;14:10:07.3;-74:04:53.3;308.349;-12.043;0.278729;3.587708;54.23;*;*;
1018;J1411+2551;14:11:18.8;+25:51:08.3;33.380;72.101;0.062453;16.012041;12.37;DD;*;
1019;J1412+7922;14:12:55.8;+79:22:03.8;118.318;37.020;0.058199;17.182405;*;*;XRS:1RXS_J141256.0+792204(Calvera);
1020;J1412-6111;14:12:59.6;-61:11:30.5;312.597;0.140;0.529158;1.889796;313.66;*;*;
1021;J1412-6145;14:12:07.6;-61:45:28.4;312.324;-0.366;0.315258;3.172001;512.48;*;*;
1022;J1413-5936;14:13:50.6;-59:36:08.1;313.192;1.618;0.021676;46.133441;366.00;?;*;
1023;J1413-6141;14:13:09.8;-61:41:13;312.462;-0.337;0.285625;3.501099;667.60;*;*;
1024;J1413-6205;14:13:29.9;-62:05:38;312.373;-0.736;0.109741;9.112390;*;*;GRS:4FGL_J1413.5-6205[aab+22],GRS:1AGL_J;
1025;J1413-6222;14:13:05.4;-62:22:27.8;312.241;-0.988;0.292408;3.419883;808.10;*;*;
1026;J1413-6307;14:13:31.3;-63:07:35.7;312.053;-1.718;0.394953;2.531948;121.63;*;*;
1027;J1414-6802;14:14:25.7;-68:02:58;310.590;-6.420;4.630188;0.215974;153.50;*;*;
1028;J1415-6621;14:15:31.2;-66:21:12.3;311.234;-4.846;0.392479;2.547905;260.21;*;*;
1029;J1416-5033;14:16:44.6;-50:33:17;316.504;10.055;0.794883;1.258048;58.50;*;*;
1030;J1416-6037;14:16:30.5;-60:37:59.5;313.179;0.535;0.295584;3.383138;288.88;*;*;
1031;J1417-4402;14:17:30.6;-44:02:57.4;318.861;16.144;0.002664;375.344942;55.00;ELL1;GRS:4FGL_J1417.6-4403[aab+22],XRS:[scc+1;
1032;J1418-3921;14:18:50.2;-39:21:18.7;320.820;20.461;1.096807;0.911738;60.73;*;*;
1033;J1418-5945;14:18:32.3;-59:45:00;313.706;1.287;1.672596;0.597873;369.00;*;*;
1034;J1418-6058;14:18:42.7;-60:57:49;313.325;0.135;0.110573;9.043798;*;*;GRS:4FGL_J1418.7-6057[aab+22],GRS:HESS_J;
1035;J1420-5416;14:20:29.1;-54:16:22.7;315.793;6.360;0.935772;1.068636;129.60;*;*;
1036;J1420-5625;14:20:03.0;-56:25:55.0;315.002;4.349;0.034117;29.310788;64.48;BT;*;
1037;J1420-6048;14:20:08.2;-60:48:16.4;313.541;0.227;0.068180;14.667084;360.15;*;GRS:4FGL_J1420.0-6048[aab+22],GRS:HESS_J;
1038;J1421-4409;14:21:20.9;-44:09:04.5;319.497;15.809;0.006386;156.599196;54.64;ELL1;*;
1039;J1422-6138;14:22:28.2;-61:38:28.3;313.521;-0.655;0.340968;2.932828;*;*;GRS:4FGL_J1422.5-6137[aab+22];
1040;J1423-62;14:23:36;-63:45;312.911;-2.678;1.671473;0.598275;382.00;*;*;
1041;J1423-6953;14:23:26.7;-69:53:42.8;310.736;-8.430;0.333411;2.999304;123.98;*;*;
1042;J1424-5556;14:24:12.7;-55:56:13.9;315.718;4.614;0.770375;1.298069;199.00;*;*;
1043;J1424-56;14:24:23;-56:40:47;315.478;3.911;1.427000;0.700771;32.90;*;*;
1044;J1424-5822;14:24:32.0;-58:22:55.7;314.897;2.310;0.366737;2.726751;323.90;*;*;
1045;J1424-6438;14:24:59.2;-64:38:10.0;312.741;-3.561;1.023504;0.977036;248.00;*;*;
1046;J1425-5723;14:25:36.5;-57:23:30.8;315.382;3.186;0.353263;2.830753;43.40;*;*;
1047;J1425-5759;14:25:59.1;-57:59:10.2;315.217;2.613;0.707868;1.412694;325.00;*;*;
