#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
193;J0410-31;04:10:39;-31:07:29;230.586;-46.671;1.878500;0.532340;9.20;*;*;
194;J0413+58;04:13;+58;147.122;4.934;0.687000;1.455604;57.00;*;*;
195;J0414+31;04:14;+31;166.112;-14.415;1.081000;0.925069;64.10;*;*;
196;J0414+4859_P;04:14:57;+48:59;153.549;-1.403;0.806716;1.239594;72.70;*;*;
197;J0415+6111;04:15:51.6;+61:11:51.8;145.154;7.489;0.440189;2.271749;70.80;*;*;
198;J0415+6954;04:15:55.6;+69:54:09.8;138.911;13.667;0.390715;2.559410;27.45;*;*;
199;J0416+5202_P;04:16:27;+52:01;151.621;0.951;0.018252;54.788516;140.50;*;*;
200;J0417+35;04:17:43;+35:45;163.219;-10.518;0.654400;1.528117;48.53;*;*;
201;J0417+5058_P;04:17:44;+50:58;152.495;0.335;0.291361;3.432168;34.40;*;*;
202;J0417+61;04:17;+61:08;145.299;7.540;0.440283;2.271266;70.14;*;*;
203;J0418+5732;04:18:33.8;+57:32:22.9;147.979;5.119;9.078388;0.110152;*;*;XRS:SGR_0418+5729;
204;J0418+6635;04:18:47.9;+66:35:24.7;141.525;11.536;0.002910;343.620798;77.56;*;GRS:4FGL_J0418.9+6636[aab+22];
205;J0418-4154;04:18:03.7;-41:54:14.4;246.262;-45.682;0.757119;1.320796;24.32;*;*;
206;J0419+44;04:19;+44;157.525;-4.494;1.241000;0.805802;71.00;*;*;
207;J0420+4451;04:20:21.0;+44:51:02.5;157.097;-3.720;1.241126;0.805720;*;*;*;
208;J0420-5022;04:20:01.9;-50:22:48.1;258.136;-44.386;3.453004;0.289603;*;*;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];
209;J0421+3255;04:21:33.2;+32:55:50;165.840;-11.921;0.900105;1.110981;77.02;*;*;
210;J0421-0345;04:21:33.5;-03:45:06.6;197.504;-34.757;2.161309;0.462682;44.78;*;*;
